英文名稱,中文名稱,生歿年,國籍,專長
"Lupus, Duarte (Eduardus)",路普斯,1565-1646,葡萄牙,作曲
"Lush, Ernest",勒希,1908-1988,英國,鋼琴
"Luther, Martin",路德,1483-1546,德國,作曲
"Lutkin, Peter Christien",路特金,1858-1931,美國,管風琴；作曲
"Lutos?awski, Witold",盧托斯瓦夫斯基,1913-1994,波蘭,作曲；指揮
"Lutyens, Elisabeth",路婷絲,1906-1983,英國,作曲
"Lutz-Rijeka, Wilhelm",陸茲里約卡,1955-,克羅埃西亞,作曲
"Luxon, Benjamin",盧克森,1937-,英國,聲樂
"Luzuriaga, Diego",盧蘇里阿加,1955-,厄瓜多爾,作曲
"Luzzaschi, Luzzasco",盧查斯基,1547-1607,義大利,作曲
"Luzzatti, Arturo",盧薩迪,1875-1959,阿根廷,作曲
"Lvov, Alexis Feodorovich",李沃夫,1798-1870,俄國,作曲；小提琴
"Lyadov, Anatolii",李亞朵夫,1855-1914,俄國,作曲
"Lyapunov, Sergei",李亞普諾夫,1859-1924,俄國,作曲
"Lyatoshynsky, Boris Nikolayevich",李亞托辛斯基,1894-1968,烏克蘭,作曲
"Lympany, Moura",林帕妮,1916-2005,英國,鋼琴
"Lyon, Gaultier le Vieux de",里昂,ca.1575-80-1651,法國,作曲
"Lysenko, Mykola",李森科,1842-1912,俄國,作曲
"Lysight, Michel",李賽特,1958-,比利時,作曲
"Lysy, Alberto",李西,1935-,阿根廷,小提琴
"Maag, Peter",馬格,1919-2001,瑞士,指揮
"Maas, Joseph",馬斯,1847-1886,英國,聲樂
"Maayani, Ami",馬雅尼,1936-,以色列,作曲；指揮
"Maazel, Lorin",馬捷爾,1930-,美國,指揮；小提琴
"Macbeth, Florence",馬克貝絲,1891-1966,美國,聲樂
"MacCunn, Hamish",麥克肯,1868-1916,英國（蘇格蘭）,作曲；指揮
"MacDonald, Malcolm",麥克道納,1916-,英國,作曲；著作
"MacDowell, Edward",麥克道爾,1860-1908,美國,作曲；鋼琴
"Macerof, Teo",麥西洛夫,1925-,美國,作曲；指揮；薩氏管
"MacFarren, George Alexander",麥克法倫,1813-1887,英國,音樂理論；作曲
"Macha, Otmar",馬哈,1922-,捷克,作曲
"Machajdik, Peter",馬恰迪克,1961-,斯洛伐克,作曲
"Machaut, Guillaume de",馬秀,ca.1300-1377,法國,作曲
"Mackenzie, Alexander Campbell",麥肯齊,1847-1935,英國（蘇格蘭）,作曲；指揮
"Mackerras, Charles",馬克拉斯,1925-2010,澳大利亞,指揮
"Mackey, Steven",麥基,1956-,美國,作曲
"MacMillan, Ernest","麥克米倫,厄內斯特",1893-1973,加拿大,指揮；作曲
"MacMillan, James","麥克米倫,詹姆士",1959-,英國（蘇格蘭）,作曲
"Macnaghten, Anne",麥克娜登,1908-2000,英國,小提琴
"Maconchy, Elizabeth",麥康琪,1907-1994,英國,作曲
"Madeira, Jean",麥黛拉,1924-1972,美國,聲樂
"Maderna, Bruno",馬代爾納,1920-1973,義大利,作曲
"Madetoja, Leevi Antti",馬代托雅,1887-1947,芬蘭,作曲
"Maeda, Yoshiaki",前田芳彰,1963-,日本,低音提琴
"Maegaard, Jan",梅加德,1926-,丹麥,作曲
"Maelzel, Johann Nepomuk",梅捷爾,1772-1838,德國,拍節機發明
"Maes, Jef",馬斯,1905-1996,比利時,作曲
"Magaloff, Nikita",馬加洛夫,1912-1992,瑞士,鋼琴
"Maganini, Quinto",馬格尼尼,1897-1974,美國,作曲
"Magnard, Alb?ric",馬尼亞爾,1865-1914,法國,作曲
"Magne, Michel",馬涅,1930-1984,法國,作曲
"Mahillon, Victor-Charles",馬易雍,1841-1924,比利時,音樂學；樂器製造
"Mahler, Alma","馬勒,阿爾瑪",1879-1964,澳大利亞,作曲
"Mahler, Gustav","馬勒,古斯塔夫",1860-1911,奧地利,作曲；指揮
"Maillart, Aim?",麥雅爾,1817-1871,法國,作曲
"Mailly, Alphonse Jean Ernest",麥伊,1833-1918,比利時,作曲
"Mainardi, Enrico",馬伊納第,1897-1976,義大利,大提琴；作曲
"Maine, Basil",梅恩,1894-1972,英國,著作；作曲
"Mainerio, Giorgio",馬伊內里歐,ca.1535-1582,義大利,作曲
"Maisky, Mischa",麥斯基,1948-,以色列,大提琴
"Majo, Gian Francessco",馬佑,1732-1770,義大利,作曲；管風琴
"Malartin, Erkki Gustar",馬拉廷,1875-1937,芬蘭,作曲
"Malcuzynski, Witold",馬庫金斯基,1914-1977,阿根廷,鋼琴
"Maldere, Pierre van",馬德爾,1729-1768,比利時,作曲；小提琴
"Maleingreau, Paul de",馬連格柔,1887-1956,比利時,作曲
"Malibran, Mar?a",馬莉布蘭,1808-1836,西班牙,聲樂
"Malipiero, Gian Francesco","馬里皮耶洛,蔣‧法蘭切斯科",1882-1973,義大利,作曲
"Malipiero, Riccardo","馬里皮耶洛,里卡多",1914-,義大利,作曲
"Malko, Nicolai",馬爾可,1883-1961,美國,指揮
"Malling, Otto",馬林,1848-1915,丹麥,作曲
"Mallinger, Mathide",馬玲格,1847-1920,克羅埃西亞,聲樂
"Malmsteen, Yngwie Johann",馬爾姆斯汀,1963-,瑞典,作曲；吉他
"Malovec, Josef",馬洛維奇,1933-,捷克,作曲
"Malten, Therese",馬爾騰,1855-1930,德國,聲樂
"Mamiya, Michio",間宮芳生,1929-,日本,作曲
"Man, Mathias Georg",曼恩,1717-1750,奧地利,作曲
"Man, Roderik de",曼,1941-,印尼,作曲
"Manassen, Alex",馬納森,1950-,荷蘭,作曲
"Mancinelli, Luigi",曼契內利,1848-1921,義大利,指揮；作曲
"Mancini, Henry",曼契尼,1924-,美國,作曲；編曲
"Mandyczewski, Eusebius",曼迪切夫斯基,1857-1929,羅馬尼亞,音樂學
"Man?n, Juan",馬能,1883-1971,西班牙,小提琴；作曲
"Manfredini, Francesco Onofrio","曼弗雷第尼,法蘭切斯科",1684-1762,義大利,小提琴；作曲家
"Manfredini, Vincenzo","曼弗雷第尼,文千佐",1737-1799,義大利,作曲
"Manneke, Daan",馬內克,1939-,荷蘭,作曲
"Manners, Charles","曼納斯,查理斯",1857-1935,愛爾蘭,聲樂
"Manners, David","曼納斯,大衛",1866-1959,美國,小提琴
"Manners, Leopold","曼尼斯,雷歐波德",1899-1964,美國,鋼琴；作曲
"Manning, Jane",曼寧,1938-,英國,聲樂
"Mannino, Franco",曼尼諾,1924-2005,義大利,作曲；指揮
"Manns, August",曼斯,1825-1907,英國,指揮
"Manoury, Philippe",馬努利,1952-,法國,作曲
"Manowarda, Josef von",馬諾瓦達,1890-1942,奧地利,聲樂
"Mantovani, Annunzio",曼托瓦尼,1905-1980,英國,指揮；編曲
"Manuel, Roland",馬紐耶爾,1891-1966,法國,作曲；著作
"Manzoni, Giacomo",曼佐尼,1932-,義大利,作曲
"Mara, Gertrude",馬拉,1749-1833,德國,聲樂
"Maragno, Virt?",馬拉紐,1928-2004,澳大利亞,作曲
"Marais, Henri","馬雷,亨利",1661-1741,法國,作曲
"Marais, Marin","馬雷,馬蘭",1656-1728,法國,作曲
"Marbe, Myriam",馬伯,1931-1997,羅馬尼亞,作曲
"Marcello, Alessandro","馬爾切羅,亞力山德羅",1669-1747,義大利,作曲
"Marcello, Benedetto","馬爾切羅,貝內代托",1686-1739,義大利,作曲；小提琴
"Marchal, Andr?",馬夏爾,1894-1980,法國,管風琴；作曲
"Marchand, Louis",馬爾香,1669-1732,法國,作曲
"Marchant, Stanley",馬千特,1883-1949,英國,管風琴
"Marchena, Enrique de",馬杰納,1908-1988,多明尼加,作曲
"Marchesi, Blanche","馬爾開西,布隆席",1863-1940,法國,聲樂
"Marchesi, Mathilde","馬爾開西,瑪蒂爾德",1832-1913,德國,聲樂
"Marchesi, Salvatore","馬爾開西,沙瓦多雷",1822-1908,義大利,聲樂
"Marcland, Patrick",馬克隆,1944-,法國,作曲
"Marco, Tom?s",馬爾果,1942-,西班牙,作曲
"Marechal, Henri",馬雷夏爾,1842-1924,法國,作曲
"Marek, Czeslaw",馬瑞克,1891-1985,波蘭,作曲
"Marenzio, Luca",馬倫濟歐,1553/1554-1599,義大利,作曲
"Marez Oyens, Tera de",馬列茲歐文斯,1932-1996,荷蘭,作曲
"Mariani, Angelo",馬利阿尼,1821-1873,義大利,指揮；作曲
"Marie, Gabriel Prosper",馬利,1852-1928,法國,作曲
"Mar?n, Jos?",馬令,1618/9-1699,西班牙,作曲
"Marini, Biagio",馬利尼,ca.1597-1665,義大利,小提琴；作曲
"Marinuzzi, Gino",馬里奴齊,1882-1945,義大利,指揮；作曲
"Mario, Giovanni Matteo",馬里歐,1818-1883,義大利,聲樂
"Mariotte, Antoine",馬里奧特,1875-1944,法國,作曲
"Mark, Peter",馬克,1940-,美國,小提琴；指揮
"Markevich, Igor",馬克維奇,1912-1983,俄國,作曲；指揮
"Markowitz, Steve",馬科維茲,1963-,美國,作曲
"Marriner, Neville",馬利納,1924-,英國,指揮；小提琴
"Marrone, Patrizio",馬洛內,1961-,義大利,作曲
"Marschalk, Max",馬夏克,1863-1940,德國,音樂著作；作曲
"Marschner, Heinrich",馬希納,1795-1861,德國,作曲；指揮
"Marsh, Roger",馬希,1949-,英國,作曲
"Marsick, Martin",馬席克,1848-1924,比利時,小提琴
"Marteau, Henri",馬托,1874-1934,瑞士,小提琴；作曲
"Mart?n y Soler, Vicente",馬丁‧伊‧索列爾,1754-1806,西班牙,作曲
"Martin, Elizabeth","馬丁,伊莉莎白",ca.1744-1822,英國,作曲
"Martin, Frank",馬坦,1890-1974,瑞士,作曲
"Martin, George","馬丁,喬治",1844-1916,英國,作曲
"Martin, Riccardo","馬丁,瑞卡多",1874-1952,美國,聲樂
"Martinelli, Giovanni",馬悌內里,1885-1969,義大利,聲樂
"Martiner, Jean-Louis",馬悌內,1912-,法國,作曲
"Mart?nez, Ariel",馬提內,1940-,匈牙利,作曲
"Martini, Giovanni Battista",馬悌尼,1706-1784,義大利,作曲
"Martino, Donald",馬悌諾,1931-,美國,作曲
"Martinon, Jean",馬悌農,1910-1976,法國,小提琴；指揮；作曲
"Martin?, Bohuslav",馬悌努,1890-1959,捷克,作曲
"Martirano, Salvatore",馬悌拉諾,1927-,美國,作曲
"Martland, Steve",馬特蘭,1959-,英國,作曲
"Marttinen, Tauno",馬悌能,1912-,芬蘭,作曲
"Martucci, Giuseppe",馬土契,1856-1909,義大利,鋼琴；指揮；作曲
"Marty, Eugene Georges",馬爾替,1860-1908,法國,指揮；作曲
"Martz, Jasun",馬爾茲,1953-,美國,作曲
"Martzy, Johanna",馬爾齊,1924-,匈牙利,小提琴
"Marx, Joseph","馬克思,約瑟夫",1882-1964,奧地利,作曲；樂評
"Marx, Karl","馬克思,卡爾",1897-1985,德國,作曲
"Mascagni, Pietro",馬斯卡尼,1863-1945,義大利,作曲
"Mascari, Edward P.",馬斯卡利,1949-,美國,作曲
"Mascheroni, Edoardo",馬斯凱洛尼,1852-1941,義大利,作曲；指揮
"Mason, Daniel Gregory","梅森,丹尼爾",1873-1953,美國,"作曲,著作"
"Mason, Lowell","梅森,羅維爾",1792-1872,美國,作曲
"Mason, Paul Marie",馬頌,1882-1954,法國,音樂史
"Mason, William","梅森,威廉",1829-1908,美國,鋼琴
"Massarani, Renzo",馬撒拉尼,1898-1975,義大利,作曲
"Massart, Lambert",馬薩爾,1811-1892,比利時,小提琴
"Masse, Victor",馬斯,1822-1884,法國,作曲
"Massenet, Jules",馬斯內,1842-1912,法國,作曲
"Masterson, Valerie",馬絲特森,1937-,英國,聲樂
"Mata, Edoardo",馬達,1942-1995,墨西哥,指揮；作曲
"Matchett, Steve",馬徹特,1957-,美國,作曲
"Materna, Amalie",馬特娜,1844-1918,奧地利,聲樂
"Mather, Bruce",馬瑟,1939-,加拿大,作曲；鋼琴
"Mathias, William James",馬夏斯,1934-1992,英國,作曲；鋼琴
"Mathieson, Muir",馬協森,1911-1975,英國（蘇格蘭）,指揮；作曲
"Mathieu, Andr?","馬提厄,安德列",1929-1968,加拿大,作曲
"Mathieu, Rodolphe","馬提厄,羅朵夫",1890-1962,加拿大,作曲
"Mathis, Edith",馬蒂絲,1938-,瑞士,聲樂
"Matsudaira, Yoritsune",松平賴則,1907-,日本,作曲
"Matsumura, Teizo",松村禎三,1929-,日本,作曲
"Matsushita, Isao",松下功,1951-,日本,作曲
"Matsushita, Shinichi",松下真一,1922-1990,日本,作曲
"Mattei, Stanislao",馬特伊,1750-1825,義大利,作曲
"Matthay, Tobias",馬泰,1858-1945,英國,鋼琴
"Mattheson, Johann",馬特宗,1681-1764,德國,作曲；音樂理論
"Matthews, Colin","馬休斯,柯林",1946-,英國,作曲
"Matthews, David","馬休斯,大衛",1943-,英國,作曲
"Matthews, Denis","馬休斯,丹尼斯",1919-1988,英國,鋼琴；音樂著作
"Matthews, Thomas","馬休斯,湯瑪斯",1907-1969,英國,小提琴；指揮
"Matthus, Siegfried",馬圖斯,1934-,英國,作曲
"Matthys, Marc Achille",馬悌斯,1956-,比利時,作曲
"Matton, Roger",馬通,1929-,加拿大,作曲
"Mauldin, Michael",毛丁,1947-,美國,作曲
"Maurel, Victor",摩瑞爾,1828-1923,法國,聲樂
"Maurer, Ludwig",毛瑞爾,1789-1878,德國,小提琴
"Maute, Matthias",毛特,1963-,德國,作曲
"Maw, Nicholas","莫,尼可拉斯",1935-,英國,作曲
"Maxwell, Davis Peter","馬克斯威爾,戴維斯",1934-,英國,作曲；指揮
"Maxwell, William","馬克斯威爾,威廉",1960-,美國,作曲
"Mayer, Emilie","麥爾,艾蜜莉",1821-1883,德國,作曲
"Mayer-Helmund, Erik",麥爾－黑蒙特,1861-1932,德國,作曲
"Mayo, Kevin",馬友,1964-,英國（蘇格蘭）,作曲
"Mayr, Richard","麥爾,理夏德",1877-1935,奧地利,聲樂
"Mayr, Simon","麥爾,西蒙",1763-1845,德國,作曲
"Mayseder, Josef",麥瑟德,1789-1863,奧地利,小提琴
"Mayuzumi, Toshiro",黛敏郎,1929-1997,日本,作曲
"Mazas, Jacques-F?r?ol",馬札斯,1782-1849,法國,小提琴；作曲
"Mazis, Spiros",馬濟斯,1957-,希臘,作曲
"McAllister, Rita",麥卡利斯特,1946-,英國（蘇格蘭）,作曲；著作
"McBeth, William Francis",麥貝斯,1933-,美國,作曲
"McBride, Robert Guyn",麥布萊德,1911-,美國,作曲
"McCabe, John",麥凱比,1939-,英國,作曲；鋼琴；著作
"McCaldin, Denis",麥卡爾丁,1933-,英國,指揮；著作
"McCartney, Paul",麥卡尼,1942-,英國,歌曲作曲；吉他；鋼琴
"McClelland, William",麥克雷蘭,1950-,美國,作曲
"McCormack, John",麥科爾馬克,1884-1945,美國,聲樂
"McCracken, James",麥克拉肯,1926-1988,美國,聲樂
"McDonald, Harl",麥多納,1899-1955,美國,鋼琴；作曲
"McEwen, John Blackwood",麥艾文,1868-1948,英國（蘇格蘭）,作曲
"McGuire, Edward",麥蓋爾,1948-,英國（蘇格蘭）,作曲
"McIntyre, Donald",麥金泰,1934-,紐西蘭,聲樂
"McKay, George Frederick",麥凱,1899-1970,美國,作曲
"Mckie, William",麥基,1901-1984,澳大利亞,管風琴；指揮
"McLoskey, Lansing",麥洛斯基,1964-,美國,作曲
"McManus, Stephen",麥馬努斯,1962-,北愛爾蘭,作曲
"McNaught, William Gray",麥瑙特,1849-1918,英國,音樂著作
"Mcphee, Colin",麥菲,1900-1964,美國,作曲；民族音樂學
"Meale, Richard",米爾,1932-,澳大利亞,作曲
"Mechem, Kirke",米慶,1925-,美國,作曲
"Medtner, Nikolai Karlovich",梅特納,1880-1951,俄國,鋼琴；作曲
"Mehta, Zubin",梅塔,1936-,印度,指揮
"M?hul, ?tienne-Nicolas",梅裕爾,1763-1817,法國,作曲
"Meijering, Chiel","梅澤林,契爾",1954-,荷蘭,作曲
"Meijering, Cord","梅澤林,柯爾",1955-,德國,作曲
"Meili, Max",梅利,1899-1970,瑞士,聲樂
"Melartin, Erkki Gustav",梅拉廷,1875-1937,芬蘭,作曲
"Melba, Nellie",梅爾芭,1861-1931,澳大利亞,聲樂
"Melchior, Lauritz",梅爾基奧爾,1890-1973,丹麥,聲樂
"Melkus, Eduard",梅爾庫斯,1928-,奧地利,小提琴
"Mellers, Wilfrid",梅勒斯,1914-,英國,作曲
"Mellon, Alfred",梅隆,1820-1867,英國,小提琴；指揮
"Melsa, Daniel",梅爾薩,1895-1952,波蘭,小提琴
"Menasce, Jacques de",梅納斯,1905-1960,美國,鋼琴；作曲
"Mendelssohn(Bartholdy), Felix","孟德爾頌,菲利克斯",1809-1847,德國,作曲
"Mendelssohn(Hensel), Fanny C?cilie","孟德爾頌,芬妮",1805-1847,德國,作曲
"Mengelberg, Rudolf","孟格堡(孟赫爾貝赫),魯道夫",1892-1959,荷蘭,作曲
"Mengelberg, Willem","孟格堡(孟赫爾貝赫),威廉",1871-1951,荷蘭,指揮
"Menges, Herbert","孟吉斯,赫伯特",1902-1972,美國,指揮
"Menges, Isolde","孟吉斯,伊索德",1893-1976,英國,小提琴
"Mennin, Peter",孟寧,1923-1983,美國,作曲
"Menotti, Gian Carlo",梅諾悌,1911-2007,美國,作曲
"Menter, Sophie",孟特,1846-1918,德國,鋼琴
"Menuhin, Yehudi",梅紐因,1916-1999,美國,小提琴
"Mercadante, Saverio Rafaele",梅卡旦特,1795-1870,義大利,作曲
"Mercure, Pierre",梅居爾,1927-1966,加拿大,作曲
"Merikanto, Aarre","梅利康托,阿瑞",1893-1958,芬蘭,作曲
"Merikanto, Oskar","梅利康托,奧斯卡",1868-1924,芬蘭,作曲；管風琴
"Meril?inen, Usko",梅利萊能,1930-2004,芬蘭,作曲
"Merkel, Gustav Adolf",梅凱爾,1827-1885,德國,管風琴；作曲
"Merrick, Frank",梅利克,1886-1981,英國,鋼琴；作曲
"Merrill, Robert",梅利爾,1917-2004,美國,聲樂
"Mersenne, Marin",梅森納,1588-1648,法國,音樂理論
"Mertz, Johann Kaspar",梅爾茲,1806-1856,斯洛伐克,作曲；吉他
"Merulo, Claudio",梅路羅,1533-1604,義大利,作曲；管風琴；出版
"Messager, Andr?",梅撒傑爾,1853-1929,法國,管風琴；作曲；指揮
"Messchaert, Johannes",梅歇特,1857-1922,荷蘭,聲樂
"Messiaen, Olivier",梅湘,1908-1992,法國,作曲；管風琴
"Meulemans, Arthur",繆勒曼斯,1884-1966,比利時,作曲；指揮
"Meux, Thomas",繆克斯,1869-1940,英國,聲樂
"Mewton-Wood, Noel",繆頓－伍德,1922-1953,澳大利亞,鋼琴
"Meyer, Kerstin","梅耶,凱斯婷",1928-,瑞典,聲樂
"Meyer, Krzysztof","梅耶,克濟斯托夫",1943-,波蘭,作曲
"Meyerbeer, Giacomo",梅耶貝爾,1791-1864,德國,作曲
"Meyerowitz, Jan",梅耶洛維茲,1913-1998,美國,作曲
"Meynaud, Michel",梅諾,1950-,法國,作曲
"Meytus, Yuly Sergueievitch",梅圖斯,1903-1997,烏克蘭,作曲
"Miaskovsky, Nikolai Yakovlevich",米亞斯科夫斯基,1881-1950,俄國,作曲
"M?ca, Frantisek V?clav",米卡,1694-1744,捷克,作曲
"Mich?ns, Carlos",米強斯,1950-,阿根廷,作曲
"Micheau, Janine",米秀,1914-1976,法國,聲樂
"Michelangeli, Arturo Benedetti",米凱蘭傑利,1920-1995,義大利,鋼琴
"Middelschulte, Wilhelm",米德舒特,1863-1943,德國,管風琴
"Mignone, Francisco",米紐內,1897-1986,巴西,作曲；指揮
"Migot, Georges",米戈,1891-1976,法國,作曲
"Miguel, del Aguila",米格爾,1957-,烏克蘭,作曲
"Mihalovici, Marcel",米哈洛維奇,1898-1985,法國,作曲
"Miki, Minoru",三木稔,1930-,日本,作曲
"Mil?n, Luis de",米浪,ca.1500-ca.1561,西班牙,作曲；比維拉琴
"Milanov, Zinka",米拉諾芙,1906-1989,克羅埃西亞,聲樂
"Milanova, Stoika",米拉諾娃,1945-,保加利亞,小提琴
"Mildmay, Audrey",米德梅,1900-1953,英國,聲樂
"Milford, Robin",米福特,1903-1959,英國,作曲
"Milhaud, Darius",米堯,1892-1974,法國,作曲
"Milkina, Nina",米基娜,1919-2006,俄國,鋼琴
"Miller, Edward","米勒,艾德華",1735-1807,英國,管風琴；作曲
"Miller, Elma","米勒,艾瑪",1954-,加拿大,作曲
"Mill?cker, Karl(Carl)",米勒可,1842-1899,奧地利,作曲
"Mills, Charles","密爾斯,查理士",1914-1982,美國,作曲；指揮
"Mills, Kenneth George","密爾斯,肯尼斯‧喬治",1923-2004,加拿大,作曲
"Milmerstadt, Christopher",密爾梅斯塔特,1967-,美國,作曲
"Milner, Anthony",密爾納,1925-,英國,作曲
"Milnes, Sherrill",密爾內斯,1935-,美國,聲樂
"Milstein, Nathan",密爾斯坦,1904-1992,美國,小提琴
"Milton, John",密爾頓,1563-1647,英國,作曲
"Minkus, L?on(Ludwig)",明庫斯,1826-1917,奧地利,作曲；小提琴
"Minotto, Paul",米諾托,1960-,美國,作曲
"Minton, Yvonne",明頓,1938-,澳大利亞,聲樂
"Mirza-Zade, Khayam",米爾札－札德,1935-,亞塞拜然,作曲
"Mitchell, Howard","米契爾,霍華德",1911-1988,美國,指揮；大提琴
"Mitchell, John","米契爾,約翰",1941-,美國,作曲
"Mitchinson, John",米欽森,1933-,英國,聲樂
"Mitropoulos, Dimitri",米托普羅斯,1896-1960,希臘,指揮；作曲
"Mitsukuri, Shukichi",箕作秋吉,1895-1971,日本,作曲
"Miura, Takami",三浦環,1884-1946,日本,聲樂
"Miyake, Haruna",三宅榛名,1932-,日本,作曲
"Miyamura, Kazuhiro",宮村和宏,1979-,日本,雙簧管
"Miyoshi, Akira",三善晃,1933-,日本,作曲
"Mizuno, Shuko",水野修考,1934-,日本,作曲
"Moberg, Ida Georgina",摩貝爾格,1859-1947,芬蘭,作曲
"Mocquerear, Dom Andr?",莫克羅,1849-1930,法國,格雷果聖歌學術
"M?dl, Martha",摩德爾,1912-2001,德國,聲樂
"Moeran, Ernest John",摩倫,1894-1950,英國,作曲
"Moeschinger, Albert Jean",莫辛格,1897-1985,瑞士,作曲；鋼琴
"Moevs, Robert Walter",莫夫斯,1920-,美國,作曲；鋼琴
"Moffat, Alfred",莫法特,1866-1950,英國,作曲
"Moffo, Anna",莫芙,1935-2006,美國,聲樂
"Mohaupt, Richard",莫豪普特,1904-1957,德國,作曲
"Mohri, Kurodo",毛利藏人,1950-1997,日本,作曲
"Moiseiwitsch, Benno",莫伊謝維奇,1890-1963,英國,鋼琴
"Mokranjac, Stevan",莫克拉尼亞茲,1856-1914,塞爾維亞,作曲
"Molinari, Bernardino",莫里那利,1880-1952,義大利,指揮
"Molinari-Pradelli, Francesco",莫里那利－普拉代利,1911-1996,義大利,指揮
"Molique, Wilhelm Bernhard",莫利克,1802-1869,德國,小提琴；作曲
"Molnar, Antal",莫納爾,1890-1983,匈牙利,作曲；音樂學
"Molter, Jokann-Melchior",莫爾特,1696-1765,德國,作曲
"Mompou, Federico",蒙波,1893-1987,西班牙,鋼琴；作曲
"Moncayo, Jos? Pablo Garc?a",蒙卡悠,1912-1958,墨西哥,作曲
"Monckton, Lionel",蒙克頓,1861-1924,英國,作曲
"Mondonville, Jean-Joseph Cassan?a de",蒙東維爾,1711-1772,法國,小提琴；作曲
"Mongini, Pietro",蒙基尼,1830-1874,義大利,聲樂
"Moniuszko, Slanislaw",莫紐什科,1819-1872,波蘭,作曲
